rep,lipid_resid,start_ps,end_ps,duration_ps
2,347,135200.0,135800.0,600.0
2,347,136200.0,136600.0,400.0
2,347,137000.0,137400.0,400.0
2,347,137600.0,137800.0,200.0
2,347,138000.0,138600.0,600.0
2,412,139000.0,139200.0,200.0
2,347,139800.0,141000.0,1200.0
2,347,141800.0,142200.0,400.0
2,347,142600.0,143200.0,600.0
2,347,143800.0,144400.0,600.0
2,347,144600.0,144800.0,200.0
2,347,145000.0,145200.0,200.0
2,347,145800.0,146200.0,400.0
2,395,146400.0,146600.0,200.0
2,347,147000.0,147400.0,400.0
2,347,148400.0,148600.0,200.0
2,347,149000.0,149200.0,200.0
2,347,149800.0,150000.0,200.0
2,418,108600.0,150200.0,41600.0
3,418,50400.0,50600.0,200.0
3,409,50000.0,51000.0,1000.0
3,418,51000.0,51200.0,200.0
3,409,51200.0,51400.0,200.0
3,360,51200.0,51800.0,600.0
3,418,51400.0,52000.0,600.0
3,360,52000.0,52200.0,200.0
3,409,52200.0,52600.0,400.0
3,409,52800.0,53000.0,200.0
3,418,52200.0,53200.0,1000.0
3,360,53600.0,53800.0,200.0
3,418,57200.0,57600.0,400.0
3,418,58000.0,58400.0,400.0
3,347,59400.0,59600.0,200.0
3,360,59600.0,60200.0,600.0
3,347,61600.0,61800.0,200.0
3,409,63400.0,63600.0,200.0
3,476,65800.0,66000.0,200.0
3,476,66200.0,66400.0,200.0
3,476,67200.0,67400.0,200.0
3,409,70600.0,70800.0,200.0
3,418,72800.0,73000.0,200.0
3,409,76600.0,78400.0,1800.0
3,409,78600.0,80000.0,1400.0
3,409,80400.0,80600.0,200.0
3,347,81000.0,81200.0,200.0
3,395,81800.0,82000.0,200.0
3,347,83800.0,84200.0,400.0
3,409,84400.0,85000.0,600.0
3,409,85600.0,86000.0,400.0
3,409,86400.0,86800.0,400.0
3,409,87800.0,88200.0,400.0
3,409,88400.0,88800.0,400.0
3,409,89600.0,89800.0,200.0
3,409,90400.0,90600.0,200.0
3,360,92200.0,92400.0,200.0
3,409,90800.0,92800.0,2000.0
3,360,96000.0,97600.0,1600.0
3,418,97600.0,98000.0,400.0
3,360,98000.0,98800.0,800.0
3,409,99200.0,99400.0,200.0
3,409,100200.0,101200.0,1000.0
3,409,101600.0,102000.0,400.0
3,409,102200.0,104600.0,2400.0
3,409,108200.0,108400.0,200.0
3,409,109200.0,110200.0,1000.0
3,418,112400.0,112600.0,200.0
3,409,111800.0,114800.0,3000.0
3,409,115000.0,115400.0,400.0
3,409,115600.0,115800.0,200.0
3,360,117000.0,118000.0,1000.0
3,409,122200.0,122600.0,400.0
3,412,127000.0,127400.0,400.0
3,412,127600.0,127800.0,200.0
3,409,127800.0,128400.0,600.0
3,412,128400.0,128600.0,200.0
3,412,128800.0,129000.0,200.0
3,412,129800.0,131800.0,2000.0
3,412,132000.0,133200.0,1200.0
3,412,133400.0,134000.0,600.0
3,412,134200.0,134400.0,200.0
3,535,134600.0,134800.0,200.0
3,409,135600.0,135800.0,200.0
3,418,120000.0,137600.0,17600.0
3,409,136400.0,137600.0,1200.0
3,409,137800.0,138400.0,600.0
3,409,138600.0,139800.0,1200.0
3,409,140200.0,140600.0,400.0
3,412,140800.0,141000.0,200.0
3,412,141200.0,141400.0,200.0
3,409,142800.0,143800.0,1000.0
3,412,144000.0,145200.0,1200.0
3,412,146400.0,146600.0,200.0
3,412,147000.0,147200.0,200.0
3,412,147400.0,147600.0,200.0
3,412,147800.0,148600.0,800.0
3,412,149400.0,150000.0,600.0
3,418,137800.0,150200.0,12400.0
4,412,50800.0,52200.0,1400.0
4,347,51800.0,52600.0,800.0
4,418,54800.0,55200.0,400.0
4,418,55400.0,55800.0,400.0
4,409,64000.0,64400.0,400.0
4,409,64800.0,65000.0,200.0
4,418,68400.0,68600.0,200.0
4,409,65400.0,70200.0,4800.0
4,418,69200.0,70200.0,1000.0
4,476,70600.0,70800.0,200.0
4,409,70400.0,71400.0,1000.0
4,409,72000.0,73000.0,1000.0
4,412,73000.0,73200.0,200.0
4,409,73400.0,74800.0,1400.0
4,392,75800.0,76000.0,200.0
4,409,75000.0,80800.0,5800.0
4,418,70600.0,85800.0,15200.0
4,418,86000.0,86200.0,200.0
4,392,88000.0,88200.0,200.0
4,392,88400.0,88600.0,200.0
4,418,86600.0,88800.0,2200.0
4,392,89600.0,89800.0,200.0
4,392,90800.0,91200.0,400.0
4,418,89000.0,91600.0,2600.0
4,418,91800.0,92400.0,600.0
4,418,92800.0,93200.0,400.0
4,418,93400.0,93600.0,200.0
4,418,93800.0,94200.0,400.0
4,418,94600.0,94800.0,200.0
4,409,81000.0,96600.0,15600.0
4,392,94800.0,96600.0,1800.0
4,409,96800.0,97000.0,200.0
4,418,96600.0,97200.0,600.0
4,535,101600.0,101800.0,200.0
4,409,97200.0,104000.0,6800.0
4,409,104400.0,105200.0,800.0
4,409,105400.0,106000.0,600.0
4,395,106600.0,106800.0,200.0
4,409,106200.0,108000.0,1800.0
4,409,108200.0,108400.0,200.0
4,409,108600.0,109000.0,400.0
4,347,109600.0,109800.0,200.0
4,392,113800.0,114000.0,200.0
4,412,115400.0,115800.0,400.0
4,347,116400.0,116600.0,200.0
4,392,117200.0,117400.0,200.0
4,392,117600.0,117800.0,200.0
4,347,117800.0,118000.0,200.0
4,392,118200.0,118400.0,200.0
4,392,118800.0,119000.0,200.0
4,392,119400.0,121800.0,2400.0
4,392,122600.0,123000.0,400.0
4,392,123200.0,124200.0,1000.0
4,412,125200.0,125400.0,200.0
4,409,125400.0,126200.0,800.0
4,347,126400.0,126600.0,200.0
4,409,126400.0,126800.0,400.0
4,409,127200.0,127800.0,600.0
4,409,128000.0,128200.0,200.0
4,347,128200.0,128400.0,200.0
4,409,128600.0,129200.0,600.0
4,392,129400.0,129800.0,400.0
4,392,130000.0,130600.0,600.0
4,392,131400.0,131800.0,400.0
4,392,132200.0,132400.0,200.0
4,392,133800.0,134000.0,200.0
4,392,134400.0,135000.0,600.0
4,392,136000.0,136400.0,400.0
4,392,136800.0,137000.0,200.0
4,392,138400.0,138600.0,200.0
4,392,138800.0,139000.0,200.0
4,392,139400.0,139600.0,200.0
4,392,140200.0,140400.0,200.0
4,392,140800.0,141200.0,400.0
4,392,141800.0,143000.0,1200.0
4,409,143600.0,143800.0,200.0
4,409,144000.0,144200.0,200.0
4,392,145000.0,145200.0,200.0
4,476,145000.0,145200.0,200.0
4,409,145200.0,145400.0,200.0
4,409,146600.0,146800.0,200.0
4,476,148200.0,148400.0,200.0
4,476,149400.0,149600.0,200.0
4,392,149800.0,150200.0,400.0
